district,medianhouseholdincome,meanhouseholdincome,medianfamilyincome,meanfamilyincome
Abbott Independent School District,53333,68922,63750,80679
Abernathy Independent School District,51042,59134,52298,62203
Abilene Independent School District,41885,54891,51064,64122
Academy Independent School District,68636,84928,77132,94716
Adrian Independent School District,57917,103571,83125,140950
Agua Dulce Independent School District,61741,80402,68542,83099
Alamo Heights Independent School District,84688,141207,125605,188294
Alba-Golden Independent School District,49281,63289,56469,78030
Albany Independent School District,50482,58030,57250,68502
Aldine Independent School District,37924,47580,40387,49741
Aledo Independent School District,107644,134345,115883,146938
Alice Independent School District,40230,62159,50596,72211
Alief Independent School District,38354,52858,41470,57481
Allen Independent School District,100468,120973,110192,130410
Alpine Independent School District,38791,59644,53828,79077
Alto Independent School District,27721,47350,34111,58287
Alvarado Independent School District,53717,63188,56963,68355
Alvin Independent School District,70813,92400,83209,103265
Alvord Independent School District,56903,80277,70375,88932
Amarillo Independent School District,45952,63505,55244,74392
Amherst Independent School District,46667,53971,52727,63171
Anahuac Independent School District,41083,65385,51528,72679
Anderson-Shiro Consolidated Independent School District,41439,63759,59483,77955
Andrews Independent School District,70121,87591,80703,99490
Angleton Independent School District,60407,71534,68516,78633
Anna Independent School District,75839,82764,76887,83133
Anson Independent School District,57829,76120,69390,90504
Anthony Independent School District,37563,47510,39957,49820
Anton Independent School District,37115,55779,47679,65077
Apple Springs Independent School District,45714,49742,53917,56689
Aquilla Independent School District,50000,55210,54643,58327
Aransas County Independent School District,46906,71964,57733,81442
Aransas Pass Independent School District,41422,64597,50366,69006
Archer City Independent School District,44886,56572,51736,64584
Argyle Independent School District,115143,169466,129119,180597
Arlington Independent School District,51789,68822,59967,79142
Arp Independent School District,44306,58873,61824,68881
Aspermont Independent School District,47308,58926,76528,77358
Athens Independent School District,42745,64765,51864,69622
Atlanta Independent School District,36296,53011,48795,62576
Aubrey Independent School District,82575,89605,88899,94708
Austin Independent School District,59614,84421,75515,104153
Austwell-Tivoli Independent School District,42007,70163,51625,83063
Avalon Independent School District,53125,60182,67875,70519
Avery Independent School District,32863,51391,47609,66153
Avinger Independent School District,44205,55229,59375,68435
Axtell Independent School District,48162,59658,51506,63933
Azle Independent School District,63185,88416,75906,98334
Baird Independent School District,43445,51633,55156,62282
Ballinger Independent School District,37589,57096,42426,65818
Balmorhea Independent School District,41591,51338,55417,67647
Bandera Independent School District,55221,66846,67358,77096
Bangs Independent School District,46496,56211,53882,69604
Banquete Independent School District,59231,73745,73214,83112
Barbers Hill Independent School District,99087,107462,111768,115201
Bartlett Independent School District,36190,50812,45043,59917
Bastrop Independent School District,56663,74791,66860,83201
Bay City Independent School District,44827,62717,48340,71493
Beaumont Independent School District,42659,62601,53350,75079
Beckville Independent School District,60840,70025,68277,76902
Beeville Independent School District,42663,59399,46705,64770
Bellevue Independent School District,37250,53811,48750,65317
Bells Independent School District,54375,69748,61875,75432
Bellville Independent School District,52435,72601,75417,87308
Belton Independent School District,63915,83726,73699,97139
Ben Bolt-Palito Blanco Independent School District,53986,72168,57782,80803
Benavides Independent School District,30956,58718,38621,75722
Benjamin Independent School District,36875,47690,49500,56050
Big Sandy Independent School District (Polk County),47228,61471,60391,71970
Big Sandy Independent School District (Upshur County),48080,53544,52037,59114
Big Sandy Independent School District (Wood County),48080,53544,52037,59114
Big Spring Independent School District,48551,64215,56313,74388
Birdville Independent School District,57891,72417,66332,81788
Bishop Consolidated Independent School District,49597,58075,65578,66950
Blackwell Consolidated Independent School District,46625,95918,66500,120569
Blanco Independent School District,62406,86174,77337,97905
Bland Independent School District,70000,76800,77072,81686
Blanket Independent School District,43417,55342,59659,69542
Bloomburg Independent School District,42375,50213,52500,55425
Blooming Grove Independent School District,42688,51867,51184,57283
Bloomington Independent School District,43002,49134,43975,54413
Blue Ridge Independent School District,55529,72382,62500,80173
Bluff Dale Independent School District,58750,71076,67500,80084
Blum Independent School District,47679,58312,60000,68696
Boerne Independent School District,89216,118849,101020,132687
Boles Independent School District,43750,55504,45972,51090
Boling Independent School District,46910,57188,53810,68000
Bonham Independent School District,40973,54598,50681,65185
Booker Independent School District,63906,77537,71528,87102
Borden County Independent School District,77986,124727,88750,149403
Borger Independent School District,49528,63168,60994,70570
Bosqueville Independent School District,61250,72665,76083,89687
Bovina Independent School District,42115,52166,47102,56387
Bowie Independent School District,47816,59347,55683,70192
Boyd Independent School District,51061,64182,52596,71697
Boys Ranch Independent School District,116000,105223,129063,128471
Brackett Independent School District,34398,47415,40625,57561
Brady Independent School District,39458,49978,41229,54478
Brazos Independent School District,48364,60038,55156,68175
Brazosport Independent School District,60896,77272,72092,88894
Breckenridge Independent School District,45250,58498,52000,67811
Bremond Independent School District,56449,64881,73125,83252
Brenham Independent School District,52172,67879,62617,74363
Bridge City Independent School District,65052,74930,69529,81359
Bridgeport Independent School District,50429,65082,62353,73329
Broaddus Independent School District,28529,57107,42069,78551
Brock Independent School District,79042,91930,91779,106167
Bronte Independent School District,37153,51023,55750,66528
Brookeland Independent School District,58214,67112,73750,79348
Brookesmith Independent School District,60234,73501,72697,82311
Brooks County Independent School District,24913,42668,29728,49059
Brownfield Independent School District,39063,64729,43834,76742
Brownsboro Independent School District,45994,61327,55810,68876
Brownsville Independent School District,31601,46782,35375,49787
Brownwood Independent School District,38125,54909,48191,63516
Bruceville-Eddy Independent School District,47719,61205,52841,67645
Bryan Independent School District,44487,63319,56030,74350
Bryson Independent School District,40128,59891,46750,70656
Buckholts Independent School District,31705,48940,42143,56282
Buena Vista Independent School District,72500,74361,72500,75022
Buffalo Independent School District,50714,63817,59201,68475
Bullard Independent School District,62232,82847,80172,96696
Buna Independent School District,46653,57353,57500,67189
Burkburnett Independent School District,54976,64235,64177,72119
Burkeville Independent School District,39375,56867,53484,67950
Burleson Independent School District,72548,84145,81534,91850
Burnet Consolidated Independent School District,55351,69933,62452,80059
Burton Independent School District,58629,66570,74146,81693
Bushland Independent School District,89107,103747,117500,123067
Bynum Independent School District,51875,57608,53125,60568
Caddo Mills Independent School District,56908,72872,75078,83616
Calallen Independent School District,77868,103872,87634,114988
Caldwell Independent School District,55735,70910,70442,84150
Calhoun County Independent School District,54167,66127,64034,75619
Callisburg Independent School District,70895,91662,87721,104627
Calvert Independent School District,32250,41768,32188,42648
Cameron Independent School District,35269,52776,54526,68792
Campbell Independent School District,45000,61325,50703,66706
Canadian Independent School District,67083,82566,68348,86983
Canton Independent School District,46158,64788,68167,82766
Canutillo Independent School District,51706,71057,53810,72193
Canyon Independent School District,69316,83376,83973,96543
Carlisle Independent School District,41750,57043,47464,61979
Carrizo Springs Consolidated Independent School District,32204,54900,40625,57813
Carroll Independent School District,184344,250768,194604,258739
Carrollton-Farmers Branch Independent School District,62336,80215,72641,91777
Carthage Independent School District,49873,64505,57619,76947
Castleberry Independent School District,38056,50101,47301,55253
Cayuga Independent School District,55972,60491,63443,69432
Cedar Hill Independent School District,66023,77144,76004,86370
Celeste Independent School District,51295,64508,60284,71784
Celina Independent School District,93172,106427,104167,116827
Center Independent School District,31965,47495,41888,54924
Center Point Independent School District,52193,94966,59133,108604
Centerville Independent School District (Leon County),49643,63635,68839,72674
Centerville Independent School District (Trinity County),47500,75278,56875,87035
Central Heights Independent School District,63008,68834,76250,75721
Central Independent School District,52800,58647,56441,64869
Channelview Independent School District,54967,65035,55764,64280
Channing Independent School District,43214,50782,47656,51933
